S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
6,Tasmania,65610,West Coast,324,14.0563991,328,15.96884129,652,14.95755907,
6,Tasmania,65810,West Tamar,2322,17.936042,1956,14.93928053,4278,16.42920235,
7,Northern Territory,70200,Alice Springs,2972,21.1922419,2789,18.36197248,5761,19.7206723,
7,Northern Territory,70420,Barkly,926,25.7150791,865,23.77680044,1791,24.74098632,
7,Northern Territory,70540,Belyuen,19,23.75,21,24.41860465,40,24.09638554,
7,Northern Territory,70620,Central Desert,532,25.6632899,515,25.08524111,1047,25.37566651,
7,Northern Territory,70700,Coomalie,110,14.3042913,112,17.17791411,222,15.62280084,
7,Northern Territory,71000,Darwin,7873,18.2076781,7497,17.75488455,15370,17.98397005,
7,Northern Territory,71150,Darwin Waterfront Precinct,9,6.04026846,14,10.52631579,23,8.156028369,
7,Northern Territory,71300,East Arnhem,1170,23.9117106,1111,21.70769832,2281,22.78493657,
7,Northern Territory,72200,Katherine,1258,22.5569302,1067,20.31607007,2325,21.47012651,
7,Northern Territory,72300,Litchfield,2100,16.262681,2022,19.25347553,4122,17.60409994,
7,Northern Territory,72330,MacDonnell,801,22.997416,733,22.74278622,1534,22.87503728,
7,Northern Territory,72800,Palmerston,5151,24.9769675,4911,23.96778917,10062,24.47401065,
7,Northern Territory,73600,Roper Gulf,828,22.0447284,809,21.65997323,1637,21.85289013,
7,Northern Territory,74050,Tiwi Islands,260,19.711903,303,21.21848739,563,20.49508555,
7,Northern Territory,74550,Victoria Daly,439,26.4617239,380,23.22738386,819,24.85584219,
7,Northern Territory,74560,Wagait,32,13.559322,22,9.649122807,54,11.63793103,
7,Northern Territory,74660,West Arnhem,876,23.6756757,818,22.06636094,1694,22.87025786,
7,Northern Territory,74680,West Daly,486,28.2722513,407,23.84299941,893,26.06538237,
7,Northern Territory,79399,Unincorporated NT,822,20.5141003,777,20.96600108,1599,20.73123298,
8,Australian Capital Territory,89399,Unincorporated ACT,42707,18.5423822,40384,17.09411839,83091,17.80905595,
9,Other Territories,99399,Unincorp. Other Territories,208,16.9934641,174,13.46749226,382,15.18282989,
,,,,,,,,,,
